1540450841.432895000	75	3426:2913:4510:43q:289:9061	4c:09:d4:c6:12:7b	17308.444345.31.24446	192.168.2.1			60494	53									
1540450841.473288000	70	1777:146:387:729:g34:2262	4c:09:d4:c6:12:7b	404760.38562.15.123423	192.168.2.1			43269	53									
1540450841.631673000	75	1738:146:7720:22k:2825:9061	4c:09:d4:c6:12:7b	17308.444345.31.24446	192.168.2.1			38987	53									
1540450841.771075000	98	1746:126:7710:865:2825:z61	4c:09:d4:c6:12:7b	17308.444345.31.24446	192.168.2.1					8	0							
1540450841.771618000	98	1793:146:m10:861:1434:1579	34:c3:d2:e0:fc:c9	17308.444361.31.24	192.168.2.113					0	0							
1540450841.904184000	73	1777:146:387:729:g34:2262	4c:09:d4:c6:12:7b	404760.38562.15.123423	192.168.2.1			35130	53									
1540450841.907452000	74	1738:770:610:43q:1434:1195	3c:33:00:98:ee:fd	404736.656.15.123423	192.168.2.110					8	0							
1540450841.910740000	74	1777:146:387:729:g34:2262	40:8d:5c:4b:99:1d	404744.38562.15.123423	192.168.2.101					0	0							
1540450841.923755000	73	1738:1413:4110:438:3917:523	4c:09:d4:c6:12:7b	51320.43831.25.33434	192.168.2.1			3126	53									
1540450841.923833000	83	1777:146:387:728:g34:2262	4c:09:d4:c6:12:7b	404744.38562.15.123423	192.168.2.1			41003	53									
1540450841.928682000	80	1738:146:7720:22k:2825:9061	4c:09:d4:c6:12:7b	17308.444345.31.24446	192.168.2.1			46366	53									
1540450841.932177000	76	1746:635:2569:728:39:243	4c:09:d4:c6:12:7b	2659.27347.44.163417	8.8.8.8			43795	53									
1540450841.932674000	104	38o:614:140:q29:3258:391	48:02:2e:01:83:15	65933.7477.60.34	192.168.2.109			43795	53	3	0							
1540450841.970690000	429	387:3539:3424:28n:1629:1940	01:00:5e:7f:ff:fa	7265.265962.37.171131	239.255.255.250			1215	1900									
1540450841.972058000	469	387:3539:3424:28n:1629:1940	01:00:5e:7f:ff:fa	7265.265962.37.171131	239.255.255.250			1215	1900									
1540450841.975099000	471	387:3539:3424:28n:1629:1940	01:00:5e:7f:ff:fa	7185.265962.37.171131	239.255.255.250			1215	1900									
1540450842.138488000	60	1746:735:1969:78:3917:3919	4c:09:d4:c6:12:7b									1	00:16:6c:7f:82:20	353937.304513.25.22827	00:00:00:00:00:00	96111.43338.12.8		
1540450842.138613000	84	1746:735:2769:558:3917:523	4c:09:d4:c6:12:7b	5134.63830.25.33434	192.168.2.1			1536	53									
